"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","scale_pos_weight","Accuracy"
250,3,0.1,1,1,0.8,1,0.75,0.65
200,3,0.01,1,1,0.4,0.6,1,0.643333333333333
150,6,0.1,1,3,0.4,0.8,1,0.643333333333333
200,3,0.01,0,1,0.4,0.6,1,0.64
200,3,0.01,0.25,1,0.4,0.6,1,0.64
250,3,0.1,0.25,1,0.8,0.8,1,0.64
200,3,0.1,1,5,0.8,1,1,0.64
250,3,0.05,0,5,0.4,0.8,1,0.636666666666667
200,3,0.1,0,5,0.8,1,1,0.636666666666667
250,3,0.05,0.25,3,0.4,0.8,1,0.636666666666667
250,3,0.05,0.25,5,0.4,0.8,1,0.636666666666667
150,3,0.01,1,1,0.4,0.6,1,0.636666666666667
250,3,0.1,0,1,0.8,1,0.75,0.633333333333333
250,3,0.05,0,5,0.8,1,0.75,0.633333333333333
250,3,0.05,0.25,5,0.8,1,0.75,0.633333333333333
150,3,0.01,0,1,0.4,0.6,1,0.633333333333333
250,3,0.05,0,3,0.4,1,1,0.633333333333333
150,3,0.01,0.25,1,0.4,0.6,1,0.633333333333333
200,3,0.05,0.25,3,0.8,1,1,0.633333333333333
200,3,0.1,0.25,3,0.8,1,1,0.633333333333333
200,3,0.1,0.25,5,0.8,1,1,0.633333333333333
50,3,0.01,1,3,0.4,0.6,1,0.633333333333333
250,3,0.05,1,1,0.4,0.8,1,0.633333333333333
200,3,0.1,0,1,0.8,1,0.75,0.63
200,3,0.05,0,5,0.8,1,0.75,0.63
200,3,0.05,0.25,5,0.8,1,0.75,0.63
50,3,0.01,0,3,0.4,0.6,1,0.63
200,3,0.05,0,3,0.4,0.8,1,0.63
250,3,0.05,0,3,0.4,0.8,1,0.63
150,6,0.05,0,5,0.8,0.8,1,0.63
250,3,0.05,0,3,0.8,1,1,0.63
150,6,0.05,0,5,0.8,1,1,0.63
50,3,0.01,0.25,3,0.4,0.6,1,0.63
250,3,0.01,1,1,0.4,0.6,1,0.63
250,3,0.05,1,1,0.4,1,1,0.63
150,3,0.1,1,1,0.8,1,1,0.63
200,3,0.1,0,3,0.8,0.6,0.75,0.626666666666667
250,3,0.1,0,5,0.4,0.8,0.75,0.626666666666667
250,3,0.1,0.25,5,0.4,0.8,0.75,0.626666666666667
250,3,0.1,0.25,5,0.8,0.8,0.75,0.626666666666667
200,3,0.1,0.25,3,0.8,1,0.75,0.626666666666667
250,3,0.01,1,3,0.4,1,0.75,0.626666666666667
200,3,0.01,0,3,0.4,0.6,1,0.626666666666667
150,3,0.01,0,5,0.4,0.6,1,0.626666666666667
250,3,0.05,0,1,0.4,0.8,1,0.626666666666667
200,3,0.05,0,3,0.4,1,1,0.626666666666667
200,3,0.1,0,3,0.8,1,1,0.626666666666667
250,3,0.1,0,5,0.8,1,1,0.626666666666667
200,3,0.01,0.25,3,0.4,0.6,1,0.626666666666667
150,3,0.01,0.25,5,0.4,0.6,1,0.626666666666667
250,3,0.05,0.25,3,0.8,1,1,0.626666666666667
250,3,0.1,0.25,5,0.8,1,1,0.626666666666667
200,3,0.01,1,3,0.4,0.6,1,0.626666666666667
200,3,0.1,1,3,0.4,0.6,1,0.626666666666667
150,3,0.01,1,5,0.4,0.6,1,0.626666666666667
250,6,0.05,1,1,0.8,0.8,1,0.626666666666667
200,3,0.1,1,3,0.4,1,1,0.626666666666667
250,3,0.1,1,3,0.4,1,1,0.626666666666667
250,3,0.05,1,1,0.8,1,1,0.626666666666667
200,3,0.1,1,1,0.8,1,1,0.626666666666667
250,3,0.05,1,3,0.8,1,1,0.626666666666667
250,3,0.1,0,5,0.4,0.6,1,0.626666666666667
250,3,0.1,0.25,5,0.4,0.6,1,0.626666666666667
200,6,0.01,0,1,0.4,0.6,0.75,0.623333333333333
150,3,0.05,0,5,0.8,0.8,0.75,0.623333333333333
250,3,0.05,0,1,0.8,1,0.75,0.623333333333333
250,6,0.05,0,3,0.8,1,0.75,0.623333333333333
150,3,0.1,0,3,0.8,1,0.75,0.623333333333333
250,6,0.01,0.25,1,0.4,0.6,0.75,0.623333333333333
200,3,0.1,0.25,3,0.8,0.6,0.75,0.623333333333333
250,3,0.1,0.25,1,0.4,0.8,0.75,0.623333333333333
150,3,0.05,0.25,5,0.8,0.8,0.75,0.623333333333333
250,6,0.05,0.25,3,0.8,1,0.75,0.623333333333333
200,6,0.01,1,1,0.4,0.6,0.75,0.623333333333333
150,3,0.1,1,5,0.4,0.6,0.75,0.623333333333333
200,3,0.1,1,5,0.4,0.6,0.75,0.623333333333333
250,3,0.1,1,5,0.4,0.6,0.75,0.623333333333333
250,3,0.1,1,5,0.8,0.6,0.75,0.623333333333333
200,3,0.1,1,3,0.8,0.8,0.75,0.623333333333333
250,3,0.1,1,3,0.8,0.8,0.75,0.623333333333333
150,6,0.05,1,5,0.4,1,0.75,0.623333333333333
200,3,0.1,1,1,0.8,1,0.75,0.623333333333333
200,3,0.1,1,3,0.8,1,0.75,0.623333333333333
250,3,0.1,1,3,0.8,1,0.75,0.623333333333333
50,3,0.01,0,1,0.4,0.6,1,0.623333333333333
200,3,0.01,0,5,0.4,0.6,1,0.623333333333333
50,3,0.05,0,1,0.4,0.8,1,0.623333333333333
50,6,0.1,0,3,0.8,0.8,1,0.623333333333333
200,3,0.05,0,5,0.4,1,1,0.623333333333333
200,3,0.05,0,3,0.8,1,1,0.623333333333333
